Interval,Trend.Value/Trend.Type/max available seats.avg,Trend.Value/Trend.Type/available seats.avg,Trend.Value/Trend.Type/ultraSound.avg,Trend.Value/Trend.Type/Sound.avg,Trend.Value/Trend.Type/Light.avg,Trend.Value/Trend.Type/Temperature.avg,Trend.Value/Trend.Type/Humidity.avg
10/22 14:20,805,389.632183908046,303.21677307022634,321.3009286128845,438.75856065002904,22.656413232733605,16.104178757980268
10/22 14:40,805,407.97872340425533,300.7376807317793,320.3505458837415,425.81085866037176,22.46267335497197,17.348480377692535
10/22 15:00,805,413.42857142857144,301.483400114482,317.52375500858614,351.62793360045794,22.593589009730966,16.211791642816255
10/22 15:20,805,424.42857142857144,298.3965565904601,311.9633079311318,252.19531470505223,22.50437482359582,15.801016088060965
10/22 15:40,805,449.40579710144925,289.9171770195392,305.02653834937297,224.31612715077281,22.36016331291922,15.573344998541849
10/22 16:00,805,475.77777777777777,286.6525724423418,300.39591957421646,212.94115907746897,22.422678888231815,17.02454169130692
10/22 16:20,805,498.0344827586207,291.6042908224076,292.8286650774732,208.76370679380216,22.140345649582837,15.849523241954708
10/22 16:40,805,525.54,292.89102005231035,290.4835803545481,210.29177564661435,22.138477186864282,15.997965707643127
10/22 17:00,805,547.2592592592592,284.82634552482904,283.97294082664285,208.33511745465358,21.949003865596193,15.490930716622064
10/22 17:20,805,573.025,287.24119402985076,280.3041791044776,211.60388059701492,21.923582089552237,15.51910447761194
10/22 17:40,805,595.4347826086956,284.5334533453345,277.7371737173717,212.34053405340535,21.90939093909391,15.710171017101711
10/22 18:00,805,608.8611111111111,283.65451230628986,273.75812822850196,210.98085688240656,22.094196292920085,15.780613795199027
10/22 18:20,805,625,283.7524812030075,271.01112781954885,211.686015037594,21.991127819548872,16.224962406015038
10/22 18:40,805,635.5652173913044,279.0440270032286,268.1121221015556,209.9251540945113,22.028177282066334,17.045494570002933
10/22 19:00,805,648.125,279.68767908309457,266.79169054441263,204.723782234957,21.882234957020056,17.1189111747851
10/22 19:20,805,661.1034482758621,284.420040195234,265.2552397358599,197.74102784955497,21.90755096181453,17.256388171116853
10/22 19:40,805,670.8,282.9202877697842,262.92258992805756,190.70877697841726,21.799136690647483,17.319424460431655
10/22 20:00,805,678.6428571428571,285.2155963302752,262.3411697247706,193.67574541284404,21.89908256880734,17.25802752293578
10/22 20:20,805,678.6666666666666,281.5505743905856,259.73746147380217,189.45643037265341,22.042588960493134,16.99467637993836
10/22 20:40,805,683.3888888888889,281.31149425287356,257.98735632183906,174.42241379310346,22.14152298850575,16.800574712643677
10/22 21:00,805,691.5333333333333,284.477534562212,255.7701612903226,161.74337557603687,22.130904377880185,17.039458525345623
10/22 21:20,805,697.625,288.9883687943262,253.76794326241134,171.2082269503546,22.096312056737588,17.21276595744681
10/22 21:40,805,697.8,285.79082515868436,252.6407963069821,169.45816503173688,22.12579342181189,17.184362377380264
10/22 22:00,805,805,286.93663831035497,251.65180404810795,182.31152830742153,22.203138750366676,6.177764740393077
10/22 22:20,805,805,293.0474399768585,250.78767717674285,157.35203934046862,22.190338443737346,6.811397165172115
10/22 22:40,805,805,293.39017256507753,249.76718338695525,153.49458906112898,22.045627376425855,7.933021351272302
10/22 23:00,805,805,296.17051671732526,249.46231003039514,137.33434650455928,21.958662613981762,9.379635258358663
10/22 23:20,805,805,290.3091299019608,247.48314950980392,134.30514705882354,22.037683823529413,9.889093137254902
10/22 23:40,805,805,300.4630969609262,245.96382054992765,141.40781476121563,21.870767004341534,9.563820549927641
10/23 0:00,805,805,302.1575973832887,245.54921201308355,152.66577460600655,21.848944394885518,9.553969669937556
10/23 0:20,805,805,300.88284518828453,244.5774058577406,123.9578601315003,21.82083084279737,9.85415421398685
10/23 0:40,805,805,305.6886967263743,243.32489190858556,135.72143298332304,21.958770846201357,9.809141445336628
10/23 1:00,805,805,301.66996173469386,242.1045918367347,113.56345663265306,21.881377551020407,11.417729591836734
10/23 1:20,805,805,302.6210160934049,240.9163774061218,116.07194698643104,21.70337645945093,11.959924266330072
10/23 1:40,805,805,302.885587431694,237.96209016393442,101.02732240437159,21.712773224043715,11.961407103825136
10/23 2:00,805,805,314.4929435483871,236.77822580645162,117.94254032258064,21.735887096774192,12.28494623655914
10/23 2:20,805,805,311.52273481579823,237.08496515101228,105.67208762031198,21.719548622635248,14.141719216727514
10/23 2:40,805,805,304.942014242116,233.67751780264496,105.73584265852831,21.574432010851137,15.126144455747712
10/23 3:00,805,805,317.98508853681267,233.63466915191054,120.10189499844672,21.66247281764523,15.225535880708295
10/23 3:20,805,805,317.0211338477021,233.1060046964106,119.31164038913117,21.616236162361623,15.302247567930225
10/23 3:40,805,805,313.4012128949888,232.88732843919567,133.2553463134376,21.636769869135016,15.321736354931376
10/23 4:00,805,805,313.85285118219747,234.92044506258694,174.5702364394993,21.422253129346313,15.038386648122392
10/23 4:20,805,805,316.41107622038254,238.03910933485585,160.39908649728804,21.42092492149586,14.88095917784756
10/23 4:40,805,805,324.8817994707439,235.97206703910615,151.48074095854162,21.548515142605115,15.063510732137606
10/23 5:00,805,805,316.5198448224411,237.13040883318413,144.22053118472098,21.683527305282006,15.262011339898537
10/23 5:20,805,805,312.83328615907163,237.60317011038777,171.22785168412113,21.62057741296349,14.895556184545711
10/23 5:40,805,804.9,312.2801458216489,238.78743690409422,185.41503084688728,21.70611329220415,15.713404374649468
10/23 6:00,805,802.1428571428571,314.1005867560771,239.77675328303997,184.70662196144175,21.75146689019279,16.990779547359598
10/23 6:20,805,786.219512195122,319.95280068239975,241.12396929201023,180.68325277224906,21.756752914415696,16.977822007392664
10/23 6:40,805,768.4142857142857,321.6635123851934,243.79237406067352,218.4160868355135,21.790147509045365,16.635402170887836
10/23 7:00,805,744.253164556962,322.54963338973494,244.52171460800903,209.70812182741116,21.847292724196276,16.951494641849973
10/23 7:20,805,707.031746031746,319.18615685180015,246.36533631035445,230.45325146525258,21.81928551493162,17.43064471113592
10/23 7:40,805,671.8157894736842,319.7773426573427,250.49818181818182,233.60615384615386,21.85146853146853,17.484755244755245
10/23 8:00,805,630.9634146341464,324.8495575221239,249.1094395280236,247.7457227138643,21.96873156342183,17.371386430678466
10/23 8:20,805,589.6229508196722,316.9115464529534,251.4369249035322,272.0940932027308,22.052241021074504,17.561590976550907
10/23 8:40,805,559.448275862069,319.02100456621,254.01065449010653,365.69893455098935,22.214307458143075,17.375951293759513
10/23 9:00,805,547.2577319587629,310.4053452115813,260.6697422844416,559.5278396436526,22.218103722558066,17.587973273942094
10/23 9:20,805,527.7264150943396,321.86243226971703,269.5872968091511,442.860626128838,22.296056592414207,17.806742925948225
10/23 9:40,805,537.35,323.77821245862174,270.00331026181163,414.9449292807704,22.4301835690641,20.30965994583208
10/23 10:00,805,550.3815789473684,321.70529411764704,272.69176470588235,379.1855882352941,22.345588235294116,20.976176470588236
10/23 10:20,805,531.3161290322581,319.16302722105894,275.91833682321266,368.1364044271612,22.356565958719713,19.98384684415196
10/23 10:40,805,495.9066666666667,319.09699494198156,275.2695626301696,466.40583159773877,22.300952097590002,19.571853614995536
10/23 11:00,805,438.01785714285717,316.65857936275944,279.50570008769364,405.2607424729611,22.40032154340836,19.966384098216896
10/23 11:20,805,394.42,319.343870014771,280.6389955686854,415.81211225997043,22.36218611521418,23.933825701624816
10/23 11:40,805,383.82105263157894,328.66035467388036,281.2467688608356,494.9419897805831,22.436579501051998,24.09107303877367
10/23 12:00,805,384.030303030303,335.9259259259259,284.913874191652,435.6840094062316,22.57995296884186,23.959435626102294
10/23 12:20,805,364.3298969072165,335.0868650435828,285.29035166816954,515.4226029455966,22.59483017733694,23.781484821160205
10/23 12:40,805,363.81,327.93248683803034,291.4224218024156,577.0517187983896,22.589191700216784,23.678847940538866
10/23 13:00,805,364.4453781512605,328.72870166614274,295.769883684376,587.0877082678403,22.721314052184848,23.804464005029864
10/23 13:20,805,357.8,335.01128798842257,299.88509406657016,490.9383502170767,22.789580318379162,23.950795947901593
10/23 13:40,805,358.14102564102564,328.594729136164,301.9472913616398,522.7224011713031,22.693997071742313,23.49809663250366
10/23 14:00,805,369.35483870967744,330.2252619324796,301.4412107101281,433.24010477299186,22.753201396973225,23.9918509895227
10/23 14:20,805,377.2169811320755,327.473853345019,299.2448144902133,371.18346479696174,22.77972538708735,23.746129126497223
10/23 14:40,805,398.196261682243,328.6832669322709,295.3964143426295,324.3340922026181,22.744593056346044,23.5774046670461
10/23 15:00,805,410.93220338983053,327.71218244803697,292.4509237875289,308.8666281755196,22.732245958429562,23.490762124711317
10/23 15:20,805,430.1829268292683,325.15524193548384,288.415034562212,235.26641705069125,22.755616359447004,23.36261520737327
10/23 15:40,805,446.47945205479454,327.0828454332553,284.51932084309135,215.78981264637002,22.553571428571427,23.547423887587822
10/23 16:00,805,476.56,327.7673371359952,280.5550885619934,210.91474031822275,22.492194536175322,22.80096067247073
10/23 16:20,805,520.6825396825396,328.1441550575409,275.75317989097516,209.76135675348274,22.50847970926711,23.6496062992126
10/23 16:40,805,557.6136363636364,326.22712369597616,271.68554396423247,210.80953800298062,22.430253353204172,23.58032786885246
10/23 17:00,805,579.3877551020408,324.11951951951954,269.23783783783784,211.3036036036036,22.287687687687686,23.724924924924924
10/23 17:20,805,609.5192307692307,323.59538598047914,268.17894114167404,210.50014788524106,22.27240461401952,23.932860100561964
10/23 17:40,805,638.9705882352941,321.0021077988558,264.80517916290273,207.1282746160795,22.19722975007528,23.78831677205661
10/23 18:00,805,663.2727272727273,318.5459735576923,262.5282451923077,208.58864182692307,22.13506610576923,23.80889423076923
10/23 18:20,805,679.7741935483871,314.54903112155023,261.3934233705226,209.10070463887257,21.946711685261302,19.795067527891955
10/23 18:40,805,694.2083333333334,313.6857724759965,260.0672097759674,210.5295315682281,21.88929298807099,19.248472505091648
10/23 19:00,805,701.7083333333334,312.2001133786848,260.6612811791383,204.92488662131518,21.653061224489797,21.75283446712018
10/23 19:20,805,718.6666666666666,311.66946308724835,259.0903243847875,204.0618008948546,21.619267337807607,21.71868008948546
10/23 19:40,805,723.4285714285714,305.66090651558073,257.86033994334275,203.92549575070822,21.64985835694051,20.576203966005664
10/23 20:00,805,730.64,298.24869262056944,257.3619988378849,188.0862870424172,21.67925624636839,19.17024985473562
10/23 20:20,805,732.95,295.3338133640553,257.5452188940092,193.25057603686636,21.581221198156683,19.871255760368662
10/23 20:40,805,737.1875,294.72109826589593,254.73728323699422,178.73294797687862,21.66734104046243,18.832947976878614
10/23 21:00,805,746.4545454545455,288.903129657228,253.90253353204173,151.96810730253353,21.594187779433682,21.93204172876304
10/23 21:20,805,748.8333333333334,288.4882301656495,253.1081081081081,149.30572507991863,21.59575704736995,22.57279860505667
10/23 21:40,805,754.6363636363636,285.5345704878779,250.63783298413648,143.81622268781803,21.499401376833283,18.72912301706076
10/23 22:00,805,804.5,280.8162590879048,247.03701255783213,138.83807005948447,21.615003304692664,6.635161929940516
10/23 22:20,805,804.9166666666666,291.71068580542266,245.82169059011164,131.6609250398724,21.70207336523126,6.594258373205742
